id,Year of Birth,Gender,Ethnicity,Child's First Name,Count,Rank
1,2011,FEMALE,HISPANIC,GERALDINE,13,75
2,2011,FEMALE,HISPANIC,GIA,21,67
3,2011,FEMALE,HISPANIC,GIANNA,49,42
4,2011,FEMALE,HISPANIC,GISELLE,38,51
5,2011,FEMALE,HISPANIC,GRACE,36,53
6,2011,FEMALE,HISPANIC,GUADALUPE,26,62
7,2011,FEMALE,HISPANIC,HAILEY,126,8
8,2011,FEMALE,HISPANIC,HALEY,14,74
9,2011,FEMALE,HISPANIC,HANNAH,17,71
10,2011,FEMALE,HISPANIC,HAYLEE,17,71
11,2011,FEMALE,HISPANIC,HAYLEY,13,75
12,2011,FEMALE,HISPANIC,HAZEL,10,78
13,2011,FEMALE,HISPANIC,HEAVEN,15,73
14,2011,FEMALE,HISPANIC,HEIDI,15,73
15,2011,FEMALE,HISPANIC,HEIDY,16,72
16,2011,FEMALE,HISPANIC,HELEN,13,75
17,2011,FEMALE,HISPANIC,IMANI,11,77
18,2011,FEMALE,HISPANIC,INGRID,11,77
19,2011,FEMALE,HISPANIC,IRENE,11,77
20,2011,FEMALE,HISPANIC,IRIS,10,78
21,2011,FEMALE,HISPANIC,ISABEL,28,60
22,2011,FEMALE,HISPANIC,ISABELA,10,78
23,2011,FEMALE,HISPANIC,ISABELLA,331,1
24,2011,FEMALE,HISPANIC,ISABELLE,18,70
25,2011,FEMALE,HISPANIC,ISIS,13,75
26,2011,FEMALE,HISPANIC,ITZEL,27,61
27,2011,FEMALE,HISPANIC,IZABELLA,23,65
28,2011,FEMALE,HISPANIC,JACQUELINE,30,58
29,2011,FEMALE,HISPANIC,JADA,21,67
30,2011,FEMALE,HISPANIC,JADE,50,41
31,2011,FEMALE,HISPANIC,JAELYNN,11,77
32,2011,FEMALE,HISPANIC,JAMIE,11,77
33,2011,FEMALE,HISPANIC,JANELLE,12,76
34,2011,FEMALE,HISPANIC,JASLENE,11,77
35,2011,FEMALE,HISPANIC,JASMIN,20,68
36,2011,FEMALE,HISPANIC,JASMINE,41,48
37,2011,FEMALE,HISPANIC,JAYDA,10,78
38,2011,FEMALE,HISPANIC,JAYLA,33,55
39,2011,FEMALE,HISPANIC,JAYLAH,12,76
40,2011,FEMALE,HISPANIC,JAYLEEN,51,40
41,2011,FEMALE,HISPANIC,JAYLENE,22,66
42,2011,FEMALE,HISPANIC,JAYLIN,13,75
43,2011,FEMALE,HISPANIC,JAYLYN,10,78
44,2011,FEMALE,HISPANIC,JAZLYN,16,72
45,2011,FEMALE,HISPANIC,JAZMIN,24,64
46,2011,FEMALE,HISPANIC,JAZMINE,14,74
47,2011,FEMALE,HISPANIC,JENNIFER,59,34
48,2011,FEMALE,HISPANIC,JESSICA,46,44
49,2011,FEMALE,HISPANIC,JIMENA,11,77
50,2011,FEMALE,HISPANIC,JOCELYN,46,44
51,2011,FEMALE,HISPANIC,JOHANNA,12,76
52,2011,FEMALE,HISPANIC,JOSELYN,30,58
53,2011,FEMALE,HISPANIC,JULIA,22,66
54,2011,FEMALE,HISPANIC,JULIANA,16,72
55,2011,FEMALE,HISPANIC,JULIANNA,21,67
56,2011,FEMALE,HISPANIC,JULIET,20,68
57,2011,FEMALE,HISPANIC,JULIETTE,15,73
58,2011,FEMALE,HISPANIC,JULISSA,16,72
59,2011,FEMALE,HISPANIC,KAELYN,11,77
60,2011,FEMALE,HISPANIC,KAILEY,20,68
61,2011,FEMALE,HISPANIC,KAILYN,11,77
62,2011,FEMALE,HISPANIC,KAITLYN,31,57
63,2011,FEMALE,HISPANIC,KAMILA,36,53
64,2011,FEMALE,HISPANIC,KAREN,41,48
65,2011,FEMALE,HISPANIC,KARLA,25,63
66,2011,FEMALE,HISPANIC,KATE,27,61
67,2011,FEMALE,HISPANIC,KATELYN,23,65
68,2011,FEMALE,HISPANIC,KATELYNN,10,78
69,2011,FEMALE,HISPANIC,KATHERINE,60,33
70,2011,FEMALE,HISPANIC,KATIE,12,76
71,2011,FEMALE,HISPANIC,KAYLA,62,31
72,2011,FEMALE,HISPANIC,KAYLEE,83,20
73,2011,FEMALE,HISPANIC,KAYLEEN,19,69
74,2011,FEMALE,HISPANIC,KAYLEIGH,10,78
75,2011,FEMALE,HISPANIC,KAYLIE,15,73
76,2011,FEMALE,HISPANIC,KAYLIN,12,76
77,2011,FEMALE,HISPANIC,KEILY,17,71
78,2011,FEMALE,HISPANIC,KELLY,41,48
79,2011,FEMALE,HISPANIC,KEYLA,12,76
80,2011,FEMALE,HISPANIC,KHLOE,57,35
81,2011,FEMALE,HISPANIC,KIARA,36,53
82,2011,FEMALE,HISPANIC,KIMBERLY,103,13
83,2011,FEMALE,HISPANIC,KRYSTAL,13,75
84,2011,FEMALE,HISPANIC,KYLEE,10,78
85,2011,FEMALE,HISPANIC,KYLIE,37,52
86,2011,FEMALE,HISPANIC,LAILA,29,59
87,2011,FEMALE,HISPANIC,LAURA,14,74
88,2011,FEMALE,HISPANIC,LAUREN,21,67
89,2011,FEMALE,HISPANIC,LAYLA,52,39
90,2011,FEMALE,HISPANIC,LEA,10,78
91,2011,FEMALE,HISPANIC,LEAH,123,9
92,2011,FEMALE,HISPANIC,LEILA,20,68
93,2011,FEMALE,HISPANIC,LEILANI,33,55
94,2011,FEMALE,HISPANIC,LESLEY,12,76
95,2011,FEMALE,HISPANIC,LESLIE,66,27
96,2011,FEMALE,HISPANIC,LESLY,16,72
97,2011,FEMALE,HISPANIC,LEYLA,10,78
98,2011,FEMALE,HISPANIC,LIA,26,62
99,2011,FEMALE,HISPANIC,LIANA,18,70
100,2011,FEMALE,HISPANIC,LILIANA,28,60
101,2011,FEMALE,HISPANIC,LILY,21,67
102,2011,FEMALE,HISPANIC,LINDSAY,12,76
103,2011,FEMALE,HISPANIC,LIZBETH,30,58
104,2011,FEMALE,HISPANIC,LONDON,27,61
105,2011,FEMALE,HISPANIC,LUCIA,20,68
106,2011,FEMALE,HISPANIC,LUNA,24,64
107,2011,FEMALE,HISPANIC,LUZ,25,63
108,2011,FEMALE,HISPANIC,MADELINE,15,73
109,2011,FEMALE,HISPANIC,MADELYN,16,72
110,2011,FEMALE,HISPANIC,MADISON,122,10
111,2011,FEMALE,HISPANIC,MAKAYLA,32,56
112,2011,FEMALE,HISPANIC,MARIA,59,34
113,2011,FEMALE,HISPANIC,MARIAH,33,55
114,2011,FEMALE,HISPANIC,MARIANA,12,76
115,2011,FEMALE,HISPANIC,MARILYN,10,78
116,2011,FEMALE,HISPANIC,MARISOL,10,78
117,2011,FEMALE,HISPANIC,MAYA,49,42
118,2011,FEMALE,HISPANIC,MEGAN,11,77
119,2011,FEMALE,HISPANIC,MELANIE,109,12
120,2011,FEMALE,HISPANIC,MELANY,14,74
121,2011,FEMALE,HISPANIC,MELISSA,50,41
122,2011,FEMALE,HISPANIC,MELODY,23,65
123,2011,FEMALE,HISPANIC,MIA,229,2
124,2011,FEMALE,HISPANIC,MIAH,17,71
125,2011,FEMALE,HISPANIC,MICHELLE,51,40
126,2011,FEMALE,HISPANIC,MIKAELA,14,74
127,2011,FEMALE,HISPANIC,MIKAYLA,26,62
128,2011,FEMALE,HISPANIC,MILA,19,69
129,2011,FEMALE,HISPANIC,MILEY,17,71
130,2011,FEMALE,HISPANIC,MIRANDA,11,77
131,2011,FEMALE,HISPANIC,MIRIAM,11,77
132,2011,FEMALE,HISPANIC,MYA,29,59
133,2011,FEMALE,HISPANIC,NADIA,14,74
134,2011,FEMALE,HISPANIC,NANCY,10,78
135,2011,FEMALE,HISPANIC,NAOMI,22,66
136,2011,FEMALE,HISPANIC,NATALIA,50,41
137,2011,FEMALE,HISPANIC,NATALIE,46,44
138,2011,FEMALE,HISPANIC,NATALY,13,75
139,2011,FEMALE,HISPANIC,NATASHA,11,77
140,2011,FEMALE,HISPANIC,NATHALIA,10,78
141,2011,FEMALE,HISPANIC,NATHALIE,26,62
142,2011,FEMALE,HISPANIC,NATHALY,20,68
143,2011,FEMALE,HISPANIC,NAYELI,17,71
144,2011,FEMALE,HISPANIC,NEVAEH,32,56
145,2011,FEMALE,HISPANIC,NICOLE,71,25
146,2011,FEMALE,HISPANIC,NINA,11,77
147,2011,FEMALE,HISPANIC,NOEMI,11,77
148,2011,FEMALE,HISPANIC,NYLA,16,72
149,2011,FEMALE,HISPANIC,OLIVIA,86,18
150,2011,FEMALE,HISPANIC,PAOLA,10,78
151,2011,FEMALE,HISPANIC,PENELOPE,14,74
152,2011,FEMALE,HISPANIC,PERLA,12,76
153,2011,FEMALE,HISPANIC,RACHEL,25,63
154,2011,FEMALE,HISPANIC,RAQUEL,11,77
155,2011,FEMALE,HISPANIC,REBECCA,10,78
156,2011,FEMALE,HISPANIC,RIHANNA,21,67
157,2011,FEMALE,HISPANIC,RILEY,12,76
158,2011,FEMALE,HISPANIC,ROSA,10,78
159,2011,FEMALE,HISPANIC,ROSE,11,77
160,2011,FEMALE,HISPANIC,ROSELYN,16,72
161,2011,FEMALE,HISPANIC,RUBY,20,68
162,2011,FEMALE,HISPANIC,SABRINA,25,63
163,2011,FEMALE,HISPANIC,SADIE,11,77
164,2011,FEMALE,HISPANIC,SAMANTHA,100,14
165,2011,FEMALE,HISPANIC,SAMARA,12,76
166,2011,FEMALE,HISPANIC,SARA,29,59
167,2011,FEMALE,HISPANIC,SARAH,53,38
168,2011,FEMALE,HISPANIC,SARAI,24,64
169,2011,FEMALE,HISPANIC,SARIAH,10,78
170,2011,FEMALE,HISPANIC,SASHA,10,78
171,2011,FEMALE,HISPANIC,SAVANNA,10,78
172,2011,FEMALE,HISPANIC,SAVANNAH,38,51
173,2011,FEMALE,HISPANIC,SCARLET,29,59
174,2011,FEMALE,HISPANIC,SCARLETT,65,28
175,2011,FEMALE,HISPANIC,SELENA,15,73
176,2011,FEMALE,HISPANIC,SERENITY,37,52
177,2011,FEMALE,HISPANIC,SHERLYN,13,75
178,2011,FEMALE,HISPANIC,SHIRLEY,15,73
179,2011,FEMALE,HISPANIC,SIENNA,17,71
180,2011,FEMALE,HISPANIC,SKYLA,21,67
181,2011,FEMALE,HISPANIC,SKYLAR,12,76
182,2011,FEMALE,HISPANIC,SOFIA,165,6
183,2011,FEMALE,HISPANIC,SOPHIA,223,3
184,2011,FEMALE,HISPANIC,SOPHIE,12,76
185,2011,FEMALE,HISPANIC,STACY,10,78
186,2011,FEMALE,HISPANIC,STELLA,11,77
187,2011,FEMALE,HISPANIC,STEPHANIE,50,41
188,2011,FEMALE,HISPANIC,STEPHANY,11,77
189,2011,FEMALE,HISPANIC,TATIANA,11,77
190,2011,FEMALE,HISPANIC,TAYLOR,13,75
191,2011,FEMALE,HISPANIC,TIANA,11,77
192,2011,FEMALE,HISPANIC,TIFFANY,24,64
193,2011,FEMALE,HISPANIC,VALENTINA,85,19
194,2011,FEMALE,HISPANIC,VALERIA,45,45
195,2011,FEMALE,HISPANIC,VALERIE,53,38
196,2011,FEMALE,HISPANIC,VANESSA,42,47
197,2011,FEMALE,HISPANIC,VERONICA,10,78
198,2011,FEMALE,HISPANIC,VICTORIA,114,11
199,2011,FEMALE,HISPANIC,VIOLET,14,74
200,2011,FEMALE,HISPANIC,VIVIANA,11,77
201,2011,FEMALE,HISPANIC,WENDY,12,76
202,2011,FEMALE,HISPANIC,XIMENA,18,70
203,2011,FEMALE,HISPANIC,YAMILET,11,77
